14.5613 -0.00263125 -0.0695778  0.792745 0.209733  
14.5927 -0.00260846 -0.0694256  0.790415 0.209421  
14.6241 -0.00258591 -0.0692741  0.7881 0.209109  
14.6555 -0.00256361 -0.0691232  0.7858 0.208796  
14.6869 -0.00254154 -0.0689729  0.783515 0.208484  
14.7184 -0.00251971 -0.0688233  0.781244 0.208172  
14.7498 -0.00249812 -0.0686743  0.778987 0.207859  
14.7812 -0.00247675 -0.068526  0.776745 0.207547  
14.8126 -0.00245562 -0.0683782  0.774518 0.207234  
14.844 -0.0024347 -0.0682312  0.772304 0.206922  
14.8754 -0.00241401 -0.0680847  0.770104 0.20661  
