13.2889 0.00400089 -0.0740839  2.04537 -0.141859  -0.00386999 -0.07416  0.929658 -0.130657  
13.3518 0.00396455 -0.0737457  2.04534 -0.141228  -0.00383603 -0.0738205  0.929924 -0.130121  
13.4146 0.00392871 -0.0734106  2.04531 -0.140602  -0.00380252 -0.073484  0.930188 -0.129589  
13.4774 0.00389335 -0.0730784  2.04528 -0.139981  -0.00376943 -0.0731505  0.930447 -0.129062  
13.5403 0.00385845 -0.0727493  2.04525 -0.139366  -0.00373675 -0.07282  0.930703 -0.128539  
13.6031 0.00382402 -0.072423  2.04522 -0.138756  -0.00370449 -0.0724924  0.930955 -0.12802  
13.6659 0.00379004 -0.0720996  2.04519 -0.138151  -0.00367264 -0.0721677  0.931204 -0.127505  
13.7288 0.00375651 -0.071779  2.04516 -0.137552  -0.00364119 -0.0718459  0.93145 -0.126994  
13.7916 0.00372341 -0.0714612  2.04513 -0.136957  -0.00361013 -0.071527  0.931692 -0.126487  
13.8544 0.00369075 -0.0711462  2.0451 -0.136368  -0.00357945 -0.0712108  0.93193 -0.125984  
13.9173 0.00365851 -0.070834  2.04507 -0.135783  -0.00354916 -0.0708973  0.932166 -0.125485  
13.9801 0.00362669 -0.0705244  2.04505 -0.135204  -0.00351924 -0.0705866  0.932398 -0.12499  
14.0429 0.00359528 -0.0702174  2.04502 -0.134629  -0.00348968 -0.0702786  0.932628 -0.124499  
14.1058 0.00356426 -0.0699131  2.04499 -0.134059  -0.00346049 -0.0699732  0.932854 -0.124011  
14.1686 0.00353365 -0.0696114  2.04497 -0.133494  -0.00343166 -0.0696705  0.933077 -0.123527  
14.2314 0.00350342 -0.0693123  2.04494 -0.132933  -0.00340318 -0.0693703  0.933298 -0.123047  
14.2942 0.00347358 -0.0690157  2.04492 -0.132377  -0.00337504 -0.0690727  0.933515 -0.122571  
14.3571 0.00344411 -0.0687215  2.04489 -0.131825  -0.00334724 -0.0687775  0.93373 -0.122098  
14.4199 0.00341501 -0.0684299  2.04487 -0.131279  -0.00331978 -0.0684849  0.933941 -0.121628  
14.4827 0.00338628 -0.0681406  2.04484 -0.130736  -0.00329265 -0.0681948  0.93415 -0.121163  
14.5456 0.0033579 -0.0678538  2.04482 -0.130198  -0.00326584 -0.067907  0.934357 -0.1207  
14.6084 0.00332988 -0.0675694  2.0448 -0.129664  -0.00323935 -0.0676217  0.93456 -0.120241  
14.6712 0.0033022 -0.0672873  2.04477 -0.129135  -0.00321317 -0.0673387  0.934761 -0.119786  
14.7341 0.00327486 -0.0670075  2.04475 -0.128609  -0.00318731 -0.067058  0.93496 -0.119334  
14.7969 0.00324786 -0.06673  2.04473 -0.128088  -0.00316175 -0.0667797  0.935156 -0.118885  
14.8597 0.00322119 -0.0664548  2.0447 -0.127571  -0.00313649 -0.0665036  0.935349 -0.11844  
14.9226 0.00319484 -0.0661818  2.04468 -0.127059  -0.00311152 -0.0662298  0.93554 -0.117998  
14.9854 0.00316881 -0.065911  2.04466 -0.12655  -0.00308685 -0.0659582  0.935729 -0.117559  
15.0482 0.00314309 -0.0656424  2.04464 -0.126045  -0.00306246 -0.0656888  0.935915 -0.117123  
15.1111 0.00311769 -0.0653759  2.04462 -0.125544  -0.00303836 -0.0654216  0.936099 -0.116691  
15.1739 0.00309258 -0.0651116  2.04459 -0.125047  -0.00301453 -0.0651565  0.936281 -0.116261  
15.2367 0.00306778 -0.0648494  2.04457 -0.124554  -0.00299098 -0.0648936  0.93646 -0.115835  
