8.76504 0.0208898 -0.0983484  2.91127 -0.764124  -6.14077e-05 -0.102525  3.00485 -0.788694  -0.0216519 -0.0977008  3.18236 -0.790977  
8.82788 0.0206441 -0.0978195  2.91256 -0.760411  -6.02716e-05 -0.101922  3.00483 -0.784687  -0.0213891 -0.0971889  3.17983 -0.787001  
8.89071 0.0204026 -0.0972954  2.91382 -0.756732  -5.91662e-05 -0.101326  3.0048 -0.780719  -0.0211309 -0.0966813  3.17735 -0.783061  
8.95354 0.0201651 -0.0967761  2.91506 -0.753085  -5.80906e-05 -0.100736  3.00478 -0.776788  -0.0208772 -0.0961779  3.17493 -0.779157  
9.01637 0.0199316 -0.0962615  2.91626 -0.74947  -5.70436e-05 -0.100152  3.00476 -0.772895  -0.0206279 -0.0956788  3.17256 -0.775289  
9.0792 0.0197019 -0.0957517  2.91745 -0.745887  -5.60242e-05 -0.0995744  3.00473 -0.769038  -0.0203829 -0.0951838  3.17024 -0.771456  
9.14203 0.0194761 -0.0952464  2.91861 -0.742335  -5.50316e-05 -0.0990031  3.00471 -0.765218  -0.0201422 -0.094693  3.16796 -0.767657  
9.20487 0.019254 -0.0947457  2.91975 -0.738814  -5.40647e-05 -0.0984378  3.00469 -0.761433  -0.0199056 -0.0942063  3.16573 -0.763893  
9.2677 0.0190355 -0.0942496  2.92086 -0.735324  -5.31226e-05 -0.0978786  3.00467 -0.757684  -0.019673 -0.0937238  3.16355 -0.760163  
9.33053 0.0188207 -0.093758  2.92195 -0.731864  -5.22046e-05 -0.0973252  3.00465 -0.753969  -0.0194444 -0.0932453  3.16141 -0.756467  
9.39336 0.0186092 -0.0932708  2.92302 -0.728434  -5.13099e-05 -0.0967777  3.00463 -0.750288  -0.0192196 -0.0927708  3.15931 -0.752803  
9.45619 0.0184013 -0.092788  2.92407 -0.725033  -5.04378e-05 -0.0962358  3.00461 -0.746642  -0.0189986 -0.0923004  3.15725 -0.749172  
9.51903 0.0181966 -0.0923096  2.92509 -0.721662  -4.95874e-05 -0.0956996  3.00459 -0.743029  -0.0187813 -0.0918339  3.15524 -0.745574  
9.58186 0.0179952 -0.0918354  2.9261 -0.718319  -4.87582e-05 -0.095169  3.00457 -0.739448  -0.0185677 -0.0913713  3.15326 -0.742007  
9.64469 0.0177971 -0.0913655  2.92709 -0.715005  -4.79494e-05 -0.0946439  3.00455 -0.7359  -0.0183575 -0.0909127  3.15133 -0.738472  
9.70752 0.0176021 -0.0908998  2.92806 -0.711719  -4.71604e-05 -0.0941241  3.00453 -0.732385  -0.0181508 -0.0904579  3.14943 -0.734968  
9.77035 0.0174101 -0.0904383  2.92901 -0.708461  -4.63906e-05 -0.0936097  3.00451 -0.7289  -0.0179475 -0.090007  3.14757 -0.731494  
9.83319 0.0172212 -0.0899809  2.92994 -0.70523  -4.56394e-05 -0.0931005  3.0045 -0.725448  -0.0177475 -0.0895598  3.14574 -0.728051  
9.89602 0.0170352 -0.0895275  2.93085 -0.702027  -4.49061e-05 -0.0925965  3.00448 -0.722025  -0.0175508 -0.0891165  3.14395 -0.724637  
9.95885 0.0168522 -0.0890782  2.93175 -0.69885  -4.41903e-05 -0.0920975  3.00446 -0.718634  -0.0173572 -0.0886768  3.14219 -0.721254  
10.0217 0.0166719 -0.0886328  2.93263 -0.6957  -4.34914e-05 -0.0916036  3.00445 -0.715272  -0.0171667 -0.0882409  3.14046 -0.717899  
10.0845 0.0164945 -0.0881914  2.93349 -0.692576  -4.28089e-05 -0.0911147  3.00443 -0.71194  -0.0169793 -0.0878086  3.13877 -0.714574  
10.1473 0.0163197 -0.0877539  2.93434 -0.689477  -4.21423e-05 -0.0906306  3.00441 -0.708637  -0.0167948 -0.0873799  3.13711 -0.711277  
10.2102 0.0161477 -0.0873202  2.93517 -0.686405  -4.1491e-05 -0.0901514  3.0044 -0.705363  -0.0166133 -0.0869548  3.13547 -0.708008  
10.273 0.0159782 -0.0868903  2.93599 -0.683358  -4.08547e-05 -0.0896769  3.00438 -0.702118  -0.0164346 -0.0865333  3.13387 -0.704767  
10.3358 0.0158114 -0.0864642  2.93679 -0.680336  -4.02328e-05 -0.089207  3.00437 -0.698901  -0.0162587 -0.0861154  3.1323 -0.701553  
